// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54078	-63.0000	0.291847	9.291133	3.510393	-0.085737	-0.009700	0.123395	0.148183	0.089762	-0.563493	-0.807750
54079	-62.0000	0.259855	9.331655	3.408149	-0.017579	-0.102653	0.124714	0.148142	0.089791	-0.563514	-0.807740
54080	-62.0000	0.176671	9.346062	3.458528	0.046715	-0.034333	0.154165	0.148089	0.089695	-0.563506	-0.807765
54081	-63.0000	0.220523	9.299359	3.502610	-0.012454	0.004966	0.126870	0.147941	0.089361	-0.563546	-0.807802
54082	-62.0000	0.281060	9.303446	3.512403	-0.068769	-0.008508	0.135442	0.147852	0.089163	-0.563500	-0.807872
54083	-62.0000	0.244432	9.289387	3.476664	-0.023348	-0.023964	0.108932	0.147848	0.089102	-0.563454	-0.807912
54084	-62.0000	0.178332	9.337893	3.505412	0.038129	0.008149	0.163005	0.147866	0.088979	-0.563472	-0.807910
54085	-62.0000	0.230749	9.249921	3.424181	0.005426	-0.051878	0.053243	0.147772	0.088612	-0.563522	-0.807932
54086	-62.0000	0.327176	9.280020	3.486345	-0.096446	-0.038055	0.105461	0.147664	0.088325	-0.563590	-0.807936
54087	-62.0000	0.233952	9.279388	3.531278	-0.020835	0.036111	0.118574	0.147650	0.088218	-0.563724	-0.807857
54088	-62.0000	0.239494	9.267753	3.618268	-0.052370	0.117170	0.138392	0.147554	0.087918	-0.563776	-0.807870
54089	-62.0000	0.280664	9.133973	3.540696	-0.082140	0.081736	-0.013130	0.147443	0.087560	-0.564033	-0.807750
54090	-62.0000	0.259651	9.314084	3.515639	-0.026360	0.014189	0.146148	0.147444	0.087372	-0.564222	-0.807638
54091	-61.0000	0.224272	9.349157	3.558807	0.001254	0.055950	0.193261	0.147473	0.087176	-0.564245	-0.807638
54092	-61.0000	0.264239	9.295461	3.541329	-0.034966	0.044897	0.137850	0.147518	0.086989	-0.564234	-0.807658
54093	-62.0000	0.256638	9.265236	3.535504	-0.026317	0.053159	0.107329	0.147596	0.086763	-0.564289	-0.807629
54094	-62.0000	0.369775	9.231740	3.424303	-0.098549	-0.069763	0.039877	0.147586	0.086414	-0.564425	-0.807574
54095	-61.0000	0.416387	9.330825	3.489033	-0.144437	-0.057884	0.156607	0.147742	0.086355	-0.564431	-0.807547
54096	-61.0000	0.316184	9.241384	3.523715	-0.071143	0.034053	0.082438	0.147971	0.086410	-0.564247	-0.807628
54097	-61.0000	0.262589	9.272027	3.582498	-0.032278	0.093308	0.130350	0.148151	0.086390	-0.564282	-0.807572
54098	-61.0000	0.282512	9.291700	3.558262	-0.037804	0.059480	0.140792	0.148328	0.086286	-0.564242	-0.807579
54099	-61.0000	0.341134	9.259683	3.502578	-0.076561	0.000432	0.092881	0.148515	0.086200	-0.564192	-0.807589
54100	-60.0000	0.360289	9.262348	3.491635	-0.087722	-0.016861	0.092081	0.148715	0.086186	-0.564152	-0.807582
54101	-60.0000	0.320633	9.325437	3.541509	-0.054631	0.020115	0.167567	0.148971	0.086260	-0.564105	-0.807560
54102	-61.0000	0.256854	9.247755	3.521020	0.002189	0.049079	0.085904	0.149203	0.086311	-0.564117	-0.807503
54103	-60.0000	0.276334	9.204044	3.529278	-0.023059	0.067109	0.048426	0.149289	0.086173	-0.564323	-0.807358
54104	-60.0000	0.374340	9.284291	3.447021	-0.076135	-0.061062	0.097439	0.149404	0.086145	-0.564387	-0.807295
54105	-61.0000	0.337832	9.321864	3.475603	-0.045531	-0.033358	0.141604	0.149632	0.086404	-0.564460	-0.807174
54106	-60.0000	0.193404	9.345608	3.532278	0.074884	0.060151	0.179587	0.149852	0.086550	-0.564488	-0.807097
54107	-60.0000	0.223043	9.267251	3.477218	0.053184	0.029109	0.087770	0.149919	0.086504	-0.564640	-0.806984
54108	-61.0000	0.378545	9.320891	3.412855	-0.064676	-0.093774	0.119931	0.149948	0.086479	-0.564834	-0.806846
54109	-60.0000	0.390371	9.335012	3.429129	-0.078956	-0.085431	0.139209	0.150121	0.086613	-0.564827	-0.806803
54110	-60.0000	0.274365	9.310716	3.422508	0.028206	-0.041878	0.110806	0.150319	0.086744	-0.564957	-0.806662
54111	-61.0000	0.287313	9.294388	3.447553	0.005569	-0.014647	0.104649	0.150427	0.086769	-0.565149	-0.806504
54112	-60.0000	0.318548	9.314526	3.435374	-0.016909	-0.037808	0.120185	0.150555	0.086795	-0.565322	-0.806357
54113	-60.0000	0.341001	9.309108	3.494123	-0.056793	0.011751	0.136248	0.150682	0.086828	-0.565414	-0.806264
54114	-61.0000	0.323194	9.287945	3.531031	-0.054160	0.059811	0.128743	0.150851	0.086883	-0.565500	-0.806167
54115	-60.0000	0.301274	9.293215	3.481041	-0.017199	0.024517	0.115624	0.151027	0.087002	-0.565628	-0.806032
54116	-60.0000	0.267746	9.254974	3.526922	-0.006192	0.092389	0.094726	0.151154	0.087077	-0.565772	-0.805898
54117	-61.0000	0.323132	9.286803	3.444904	-0.028153	-0.004369	0.097695	0.151187	0.087051	-0.566017	-0.805723
54118	-60.0000	0.380750	9.273226	3.370902	-0.061176	-0.079933	0.061042	0.151212	0.087029	-0.566217	-0.805580
54119	-60.0000	0.378109	9.239737	3.405278	-0.075401	-0.032950	0.041492	0.151188	0.087066	-0.566448	-0.805418
54120	-61.0000	0.385879	9.331579	3.399399	-0.070114	-0.064695	0.125828	0.151173	0.087216	-0.566661	-0.805255
54121	-60.0000	0.352993	9.312138	3.418577	-0.050510	-0.027260	0.113233	0.151195	0.087298	-0.566714	-0.805204
54122	-60.0000	0.392218	9.280675	3.462734	-0.107055	0.009542	0.100119	0.151253	0.087396	-0.566784	-0.805134
54123	-61.0000	0.310940	9.363159	3.461139	-0.020156	0.012097	0.174523	0.151314	0.087566	-0.566870	-0.805043
54124	-60.0000	0.302498	9.323793	3.422247	-0.008396	-0.005304	0.123927	0.151343	0.087748	-0.566935	-0.804972
54125	-60.0000	0.325287	9.356743	3.532633	-0.062950	0.075782	0.193523	0.151422	0.087987	-0.567025	-0.804868
54126	-61.0000	0.311282	9.246448	3.466745	-0.047844	0.059695	0.066896	0.151492	0.088136	-0.567173	-0.804734
54127	-60.0000	0.309634	9.231668	3.474647	-0.053514	0.076173	0.055649	0.151611	0.088336	-0.567384	-0.804541
54128	-61.0000	0.327866	9.255323	3.430421	-0.056035	0.028296	0.063159	0.151684	0.088510	-0.567586	-0.804365
54129	-62.0000	0.355699	9.323127	3.394761	-0.064454	-0.030165	0.115381	0.151755	0.088767	-0.567722	-0.804228
54130	-61.0000	0.292109	9.301807	3.409251	-0.016687	0.013982	0.098491	0.151828	0.089062	-0.567821	-0.804112
54131	-61.0000	0.273123	9.347585	3.394693	0.008567	-0.003814	0.135970	0.151813	0.089204	-0.567975	-0.803990
54132	-62.0000	0.297142	9.332349	3.422879	-0.028207	0.019963	0.131956	0.151781	0.089353	-0.568055	-0.803923
54133	-61.0000	0.317327	9.376618	3.445322	-0.051060	0.020105	0.181756	0.151792	0.089546	-0.568095	-0.803871
54134	-61.0000	0.288250	9.315398	3.446007	-0.036751	0.050576	0.123649	0.151829	0.089847	-0.568144	-0.803796
54135	-62.0000	0.296069	9.296281	3.380402	-0.030508	-0.000771	0.083508	0.151783	0.090025	-0.568421	-0.803589
54136	-62.0000	0.257913	9.430726	3.357405	0.028187	-0.043563	0.201033	0.151722	0.090075	-0.568672	-0.803417
54137	-62.0000	0.368218	9.402184	3.320589	-0.069841	-0.102250	0.164668	0.151679	0.090164	-0.568742	-0.803366
54138	-62.0000	0.323000	9.355738	3.425863	-0.070607	0.021826	0.155524	0.151682	0.090381	-0.568765	-0.803325
54139	-62.0000	0.270579	9.329263	3.368429	-0.010949	-0.001788	0.109739	0.151680	0.090640	-0.568834	-0.803247
54140	-62.0000	0.299362	9.319725	3.354848	-0.038958	-0.020197	0.096902	0.151658	0.090839	-0.568866	-0.803206
54141	-62.0000	0.326026	9.304481	3.265732	-0.040865	-0.102947	0.053031	0.151624	0.091001	-0.568922	-0.803154
54142	-62.0000	0.266472	9.386667	3.400646	-0.019971	0.013551	0.174521	0.151515	0.091081	-0.569057	-0.803070
54143	-62.0000	0.312291	9.395067	3.375572	-0.056417	-0.024671	0.175080	0.151413	0.091126	-0.569179	-0.802998
54144	-63.0000	0.341967	9.369133	3.374343	-0.090009	-0.026624	0.150996	0.151374	0.091266	-0.569218	-0.802961
54145	-62.0000	0.294988	9.251654	3.334915	-0.052722	-0.007807	0.025958	0.151342	0.091402	-0.569294	-0.802898
54146	-62.0000	0.263711	9.281926	3.315486	-0.016140	-0.019826	0.047104	0.151202	0.091458	-0.569565	-0.802726
54147	-63.0000	0.277029	9.332873	3.287431	-0.016145	-0.058447	0.085938	0.151066	0.091508	-0.569895	-0.802512
54148	-63.0000	0.252551	9.388701	3.312677	0.002928	-0.036468	0.146427	0.150889	0.091478	-0.570304	-0.802258
54149	-63.0000	0.300542	9.433595	3.361871	-0.054093	-0.015029	0.206397	0.150753	0.091406	-0.570632	-0.802058
54150	-64.0000	0.280252	9.429097	3.395982	-0.048841	0.030580	0.213069	0.150703	0.091464	-0.570906	-0.801866
54151	-63.0000	0.282768	9.401715	3.388152	-0.054316	0.035410	0.184690	0.150722	0.091515	-0.571001	-0.801789
54152	-63.0000	0.245896	9.326721	3.370764	-0.025774	0.057592	0.107306	0.150747	0.091602	-0.571065	-0.801729
54153	-64.0000	0.299236	9.357001	3.290360	-0.047655	-0.039290	0.110299	0.150682	0.091671	-0.571204	-0.801634
54154	-64.0000	0.292134	9.415659	3.295305	-0.036695	-0.048873	0.167056	0.150681	0.091792	-0.571208	-0.801618
54155	-64.0000	0.331247	9.352999	3.353977	-0.101762	0.006752	0.128493	0.150661	0.091805	-0.571063	-0.801723
54156	-65.0000	0.308073	9.324821	3.319696	-0.073163	-0.009708	0.089945	0.150719	0.091915	-0.570983	-0.801757
54157	-64.0000	0.263723	9.388255	3.369866	-0.040187	0.027328	0.165415	0.150837	0.092143	-0.570763	-0.801865
54158	-65.0000	0.192896	9.436729	3.399854	0.021260	0.059462	0.219465	0.150933	0.092394	-0.570621	-0.801919
54159	-66.0000	0.228142	9.380360	3.280168	0.017018	-0.044273	0.127155	0.151005	0.092570	-0.570542	-0.801941
54160	-65.0000	0.225572	9.382143	3.385641	-0.015017	0.048265	0.164061	0.151011	0.092549	-0.570522	-0.801957
54161	-65.0000	0.311328	9.320965	3.345696	-0.090349	0.001090	0.095028	0.151085	0.092580	-0.570490	-0.801962
54162	-66.0000	0.300689	9.276166	3.338924	-0.084487	0.011720	0.050315	0.151221	0.092735	-0.570433	-0.801959
54163	-65.0000	0.223360	9.348933	3.412020	-0.026499	0.081218	0.141559	0.151275	0.092805	-0.570472	-0.801913
54164	-66.0000	0.259940	9.311476	3.383031	-0.057046	0.053543	0.097405	0.151334	0.092892	-0.570371	-0.801964
54165	-66.0000	0.272502	9.308248	3.296225	-0.042134	-0.028354	0.065585	0.151356	0.093021	-0.570339	-0.801967
54166	-65.0000	0.246493	9.344904	3.341913	-0.028644	0.009989	0.114823	0.151326	0.093025	-0.570382	-0.801942
54167	-66.0000	0.253561	9.371251	3.376040	-0.043195	0.029908	0.151224	0.151260	0.093003	-0.570374	-0.801963
