// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF8
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54078	-54.0000	-8.494832	0.462450	4.931897	0.012221	-0.008346	0.020899	-0.671848	-0.337494	-0.368880	0.546485
54079	-54.0000	-8.483248	0.412933	4.876387	-0.041586	0.024968	-0.019179	-0.671850	-0.337464	-0.368897	0.546489
54080	-54.0000	-8.511432	0.430008	4.874047	-0.028413	0.043900	0.004796	-0.671843	-0.337456	-0.368901	0.546500
54081	-54.0000	-8.476526	0.413462	4.888126	-0.037869	0.012087	-0.019085	-0.671837	-0.337437	-0.368896	0.546523
54082	-54.0000	-8.482510	0.443222	4.906666	-0.006417	0.005007	-0.003267	-0.671829	-0.337405	-0.368910	0.546542
54083	-54.0000	-8.490064	0.442155	4.893527	-0.009456	0.019985	-0.003366	-0.671818	-0.337376	-0.368933	0.546559
54084	-55.0000	-8.505161	0.429529	4.885090	-0.024194	0.032429	0.004885	-0.671801	-0.337356	-0.368949	0.546581
54085	-55.0000	-8.502800	0.408852	4.883683	-0.043874	0.028633	0.001200	-0.671791	-0.337352	-0.368973	0.546579
54086	-54.0000	-8.473463	0.444027	4.881292	-0.005160	0.022880	-0.023755	-0.671786	-0.337309	-0.368993	0.546599
54087	-54.0000	-8.488797	0.420231	4.890333	-0.028389	0.018368	-0.007053	-0.671769	-0.337291	-0.369036	0.546601
54088	-55.0000	-8.486284	0.410770	4.871283	-0.039571	0.031362	-0.019189	-0.671768	-0.337303	-0.369042	0.546592
54089	-54.0000	-8.503947	0.430475	4.845937	-0.025961	0.065203	-0.015718	-0.671771	-0.337294	-0.369036	0.546597
54090	-55.0000	-8.495763	0.450885	4.907111	0.003569	0.012749	0.008762	-0.671765	-0.337292	-0.369047	0.546600
54091	-54.0000	-8.475523	0.433257	4.895586	-0.012393	0.009697	-0.015304	-0.671755	-0.337280	-0.369041	0.546624
54092	-54.0000	-8.475908	0.433366	4.894909	-0.012157	0.010388	-0.015305	-0.671745	-0.337282	-0.369063	0.546619
54093	-55.0000	-8.491441	0.410268	4.903551	-0.035420	0.005925	0.001405	-0.671739	-0.337288	-0.369090	0.546605
54094	-54.0000	-8.509496	0.429617	4.877528	-0.021892	0.039816	0.004863	-0.671707	-0.337302	-0.369130	0.546608
54095	-54.0000	-8.502905	0.430124	4.889073	-0.018375	0.026378	0.004970	-0.671691	-0.337297	-0.369150	0.546616
54096	-54.0000	-8.479871	0.402902	4.858976	-0.045759	0.035444	-0.031234	-0.671675	-0.337306	-0.369183	0.546609
54097	-54.0000	-8.466096	0.393411	4.900992	-0.047488	-0.009295	-0.022543	-0.671674	-0.337321	-0.369183	0.546601
54098	-54.0000	-8.511534	0.441598	4.855960	-0.012451	0.059585	-0.003617	-0.671677	-0.337345	-0.369196	0.546573
54099	-54.0000	-8.493170	0.464382	4.893642	0.017428	0.022000	0.000392	-0.671669	-0.337354	-0.369225	0.546559
54100	-54.0000	-8.518855	0.461051	4.890067	0.010820	0.036340	0.020663	-0.671639	-0.337359	-0.369261	0.546568
54101	-54.0000	-8.468334	0.405446	4.879109	-0.038094	0.010442	-0.031010	-0.671622	-0.337361	-0.369304	0.546559
54102	-54.0000	-8.507199	0.431564	4.881470	-0.016643	0.031387	0.004959	-0.671598	-0.337380	-0.369332	0.546557
54103	-54.0000	-8.504708	0.422646	4.862288	-0.027769	0.044483	-0.007189	-0.671596	-0.337403	-0.369317	0.546555
54104	-54.0000	-8.515438	0.432246	4.866913	-0.019420	0.047095	0.004836	-0.671596	-0.337420	-0.369330	0.546536
54105	-54.0000	-8.463127	0.418838	4.870182	-0.025355	0.016062	-0.039371	-0.671589	-0.337429	-0.369350	0.546526
54106	-54.0000	-8.501893	0.434307	4.890616	-0.012499	0.019929	0.005071	-0.671605	-0.337430	-0.369343	0.546511
54107	-55.0000	-8.484384	0.437373	4.879846	-0.008657	0.021369	-0.015319	-0.671600	-0.337418	-0.369352	0.546518
54108	-54.0000	-8.499613	0.425192	4.871078	-0.023339	0.033826	-0.007081	-0.671581	-0.337422	-0.369381	0.546520
54109	-54.0000	-8.485938	0.415263	4.913085	-0.025079	-0.010908	0.001651	-0.671569	-0.337408	-0.369410	0.546523
54110	-54.0000	-8.472823	0.408209	4.871077	-0.035863	0.016970	-0.031011	-0.671568	-0.337434	-0.369415	0.546505
54111	-54.0000	-8.491136	0.406231	4.880358	-0.039262	0.017119	-0.010623	-0.671568	-0.337459	-0.369419	0.546487
54112	-54.0000	-8.501563	0.437917	4.849541	-0.013853	0.053565	-0.015579	-0.671557	-0.337491	-0.369444	0.546463
54113	-54.0000	-8.502748	0.416410	4.883398	-0.030542	0.020485	0.001402	-0.671543	-0.337510	-0.369460	0.546457
54114	-54.0000	-8.506373	0.426505	4.900527	-0.018890	0.008885	0.013554	-0.671538	-0.337538	-0.369466	0.546442
54115	-54.0000	-8.514413	0.415549	4.904339	-0.030401	0.006927	0.021919	-0.671536	-0.337557	-0.369479	0.546425
54116	-54.0000	-8.486539	0.421053	4.870226	-0.026217	0.023285	-0.018991	-0.671533	-0.337576	-0.369476	0.546419
54117	-54.0000	-8.500422	0.440039	4.892857	-0.006459	0.013637	0.005186	-0.671528	-0.337596	-0.369491	0.546402
54118	-54.0000	-8.508591	0.428984	4.896459	-0.017900	0.011754	0.013552	-0.671507	-0.337630	-0.369514	0.546392
54119	-54.0000	-8.491422	0.431985	4.885098	-0.014097	0.013056	-0.006838	-0.671494	-0.337630	-0.369539	0.546391
54120	-54.0000	-8.499147	0.431571	4.871485	-0.017217	0.028072	-0.006973	-0.671505	-0.337632	-0.369553	0.546367
54121	-54.0000	-8.496973	0.411507	4.869745	-0.036830	0.024257	-0.010628	-0.671490	-0.337660	-0.369580	0.546349
54122	-54.0000	-8.493396	0.422243	4.899583	-0.021917	-0.001693	0.001665	-0.671488	-0.337684	-0.369574	0.546341
54123	-54.0000	-8.483046	0.436249	4.858105	-0.012849	0.030759	-0.027369	-0.671489	-0.337717	-0.369593	0.546306
54124	-54.0000	-8.497398	0.444319	4.897962	-0.001584	0.004254	0.005317	-0.671489	-0.337741	-0.369619	0.546275
54125	-54.0000	-8.509783	0.422791	4.870579	-0.027679	0.029007	0.001389	-0.671468	-0.337735	-0.369671	0.546268
54126	-55.0000	-8.510177	0.433903	4.851828	-0.018976	0.046631	-0.007124	-0.671458	-0.337756	-0.369689	0.546256
54127	-54.0000	-8.518269	0.422799	4.855567	-0.030414	0.044748	0.001245	-0.671453	-0.337773	-0.369700	0.546244
54128	-54.0000	-8.514352	0.444173	4.868003	-0.007062	0.035613	0.005032	-0.671436	-0.337775	-0.369728	0.546244
54129	-54.0000	-8.494284	0.426498	4.856229	-0.023161	0.032342	-0.019009	-0.671434	-0.337783	-0.369748	0.546229
54130	-54.0000	-8.505423	0.424680	4.878223	-0.023271	0.018178	0.001525	-0.671431	-0.337791	-0.369767	0.546214
54131	-54.0000	-8.488131	0.427806	4.867060	-0.019436	0.019644	-0.018868	-0.671430	-0.337797	-0.369778	0.546204
54132	-54.0000	-8.506735	0.414563	4.893934	-0.031318	0.002895	0.010042	-0.671434	-0.337810	-0.369779	0.546191
54133	-54.0000	-8.516804	0.446243	4.863523	-0.005964	0.039313	0.005019	-0.671441	-0.337827	-0.369776	0.546174
54134	-54.0000	-8.510418	0.436454	4.892862	-0.010964	0.008825	0.013686	-0.671432	-0.337851	-0.369792	0.546158
54135	-54.0000	-8.501050	0.416987	4.903882	-0.027402	-0.009202	0.010192	-0.671432	-0.337860	-0.369815	0.546138
54136	-54.0000	-8.473009	0.433166	4.851911	-0.014749	0.023965	-0.039267	-0.671415	-0.337878	-0.369856	0.546119
54137	-54.0000	-8.499630	0.408049	4.882766	-0.038345	0.004753	-0.001973	-0.671407	-0.337901	-0.369911	0.546078
54138	-55.0000	-8.521037	0.437166	4.874040	-0.013317	0.026292	0.013532	-0.671377	-0.337942	-0.369989	0.546037
54139	-55.0000	-8.504007	0.450840	4.844335	-0.001038	0.044468	-0.015392	-0.671352	-0.337948	-0.370059	0.546016
54140	-54.0000	-8.500156	0.387644	4.876388	-0.057553	0.002413	-0.005610	-0.671335	-0.337973	-0.370114	0.545985
54141	-54.0000	-8.541886	0.434738	4.878923	-0.016288	0.027991	0.033919	-0.671334	-0.337999	-0.370141	0.545952
54142	-55.0000	-8.517322	0.449841	4.862482	-0.000766	0.031886	0.005146	-0.671338	-0.338038	-0.370173	0.545901
54143	-54.0000	-8.500538	0.442493	4.868517	-0.005464	0.016447	-0.006714	-0.671346	-0.338070	-0.370170	0.545873
54144	-54.0000	-8.526386	0.439888	4.864431	-0.012027	0.030894	0.013520	-0.671320	-0.338105	-0.370229	0.545843
54145	-55.0000	-8.499509	0.422954	4.864776	-0.024790	0.013382	-0.010351	-0.671307	-0.338122	-0.370261	0.545827
54146	-54.0000	-8.499901	0.434162	4.845910	-0.016044	0.030939	-0.018891	-0.671291	-0.338130	-0.370312	0.545807
54147	-54.0000	-8.508236	0.422650	4.849281	-0.027618	0.029110	-0.010513	-0.671278	-0.338148	-0.370347	0.545788
