// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
54078	-54.0000	-7.596297	1.645828	6.116709	-0.007501	0.020299	0.078022	-0.534978	-0.399980	-0.183172	0.721292
54079	-54.0000	-7.594841	1.635613	6.106075	-0.013493	0.030493	0.068602	-0.534966	-0.399988	-0.183139	0.721305
54080	-54.0000	-7.578433	1.657014	6.129186	-0.004995	-0.003211	0.073932	-0.534984	-0.399994	-0.183130	0.721291
54081	-54.0000	-7.589576	1.674390	6.130072	0.011828	-0.002626	0.085943	-0.535007	-0.399958	-0.183115	0.721298
54082	-54.0000	-7.558492	1.632061	6.137062	-0.033001	-0.010938	0.059331	-0.535027	-0.399944	-0.183098	0.721295
54083	-54.0000	-7.567449	1.663898	6.123299	0.002483	-0.007020	0.063019	-0.535032	-0.399930	-0.183083	0.721302
54084	-54.0000	-7.595646	1.634739	6.105308	-0.013930	0.034143	0.068589	-0.535045	-0.399905	-0.183086	0.721306
54085	-54.0000	-7.571562	1.683785	6.143232	0.014176	-0.024560	0.081866	-0.535051	-0.399874	-0.183094	0.721316
54086	-54.0000	-7.549935	1.647937	6.140939	-0.019677	-0.023575	0.057845	-0.535034	-0.399864	-0.183108	0.721332
54087	-54.0000	-7.573178	1.632289	6.151641	-0.035165	-0.010901	0.079669	-0.535019	-0.399873	-0.183139	0.721330
54088	-54.0000	-7.595990	1.621795	6.093155	-0.020150	0.046465	0.059154	-0.534994	-0.399949	-0.183138	0.721306
54089	-54.0000	-7.559938	1.643584	6.118717	-0.014950	-0.002812	0.051009	-0.534945	-0.400001	-0.183137	0.721314
54090	-54.0000	-7.594286	1.646505	6.130025	-0.013569	0.009727	0.084841	-0.534943	-0.400042	-0.183103	0.721301
54091	-54.0000	-7.594678	1.647224	6.129345	-0.013662	0.010502	0.084840	-0.534975	-0.400063	-0.183060	0.721277
54092	-54.0000	-7.551653	1.687885	6.116344	0.023005	-0.022340	0.050631	-0.534991	-0.400077	-0.183045	0.721261
54093	-54.0000	-7.561642	1.670130	6.111189	0.009259	-0.006053	0.052113	-0.534998	-0.400104	-0.183040	0.721242
54094	-54.0000	-7.553555	1.637935	6.123993	-0.026359	-0.008545	0.048425	-0.534965	-0.400125	-0.183045	0.721254
54095	-54.0000	-7.583589	1.669022	6.106100	0.012385	0.010831	0.065604	-0.534960	-0.400135	-0.183070	0.721245
54096	-54.0000	-7.586741	1.653823	6.119764	-0.006341	0.008145	0.073928	-0.534911	-0.400165	-0.183102	0.721257
54097	-54.0000	-7.585457	1.667266	6.104259	0.012292	0.012332	0.065602	-0.534888	-0.400151	-0.183134	0.721274
54098	-54.0000	-7.588726	1.626642	6.122886	-0.031091	0.015853	0.072819	-0.534849	-0.400154	-0.183168	0.721293
54099	-54.0000	-7.589166	1.650530	6.117645	-0.006632	0.010394	0.073926	-0.534829	-0.400152	-0.183191	0.721303
54100	-55.0000	-7.560360	1.642878	6.129458	-0.020869	-0.013622	0.057861	-0.534792	-0.400154	-0.183221	0.721321
54101	-54.0000	-7.570383	1.648898	6.119575	-0.010035	-0.003545	0.060441	-0.534755	-0.400172	-0.183254	0.721330
54102	-54.0000	-7.580664	1.630404	6.114221	-0.023728	0.012804	0.061909	-0.534766	-0.400188	-0.183265	0.721310
54103	-54.0000	-7.585225	1.650733	6.133542	-0.011967	-0.005461	0.080781	-0.534743	-0.400188	-0.183300	0.721319
54104	-54.0000	-7.583991	1.639458	6.122882	-0.017969	0.004788	0.071344	-0.534733	-0.400185	-0.183304	0.721327
54105	-54.0000	-7.591446	1.660230	6.098729	0.011574	0.018187	0.065594	-0.534703	-0.400179	-0.183321	0.721348
54106	-54.0000	-7.614510	1.644468	6.109632	-0.003932	0.030819	0.087397	-0.534674	-0.400165	-0.183326	0.721375
54107	-55.0000	-7.575824	1.654936	6.126444	-0.004531	-0.008702	0.069880	-0.534663	-0.400137	-0.183324	0.721401
54108	-55.0000	-7.530203	1.668591	6.162086	-0.010203	-0.067190	0.059234	-0.534620	-0.400136	-0.183368	0.721421
54109	-55.0000	-7.605596	1.599298	6.111671	-0.045540	0.039357	0.074261	-0.534599	-0.400174	-0.183390	0.721410
54110	-54.0000	-7.576519	1.642245	6.113768	-0.010612	0.002995	0.060440	-0.534581	-0.400212	-0.183404	0.721399
54111	-54.0000	-7.557270	1.617534	6.120749	-0.038596	-0.005500	0.045852	-0.534582	-0.400240	-0.183408	0.721382
54112	-54.0000	-7.580112	1.652634	6.121760	-0.005007	-0.005059	0.069883	-0.534590	-0.400284	-0.183407	0.721351
54113	-54.0000	-7.595158	1.645949	6.082705	0.005047	0.033459	0.056139	-0.534600	-0.400293	-0.183390	0.721344
54114	-54.0000	-7.558894	1.642660	6.113748	-0.014205	-0.009372	0.046970	-0.534596	-0.400297	-0.183390	0.721344
54115	-55.0000	-7.581871	1.652239	6.119688	-0.005167	-0.002765	0.069883	-0.534593	-0.400302	-0.183418	0.721337
54116	-54.0000	-7.564025	1.662317	6.132595	-0.002597	-0.027084	0.065863	-0.534554	-0.400305	-0.183433	0.721360
