// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56139	-65.0000	-0.512364	2.757041	10.061910	0.008105	-0.037465	0.632616	-0.006006	-0.026744	0.132535	0.990799
56140	-63.0000	-0.512517	2.710852	10.033007	0.008892	-0.003398	0.592722	-0.006299	-0.026719	0.132435	0.990812
56141	-66.0000	-0.473352	2.622246	10.026537	-0.028046	0.079274	0.561541	-0.006584	-0.026593	0.132475	0.990808
56142	-65.0000	-0.492420	2.713380	9.954436	-0.000152	-0.023636	0.516647	-0.006785	-0.026332	0.132749	0.990777
56143	-63.0000	-0.442891	2.865309	9.976377	-0.042519	-0.159900	0.575135	-0.007074	-0.025955	0.133004	0.990750
56144	-74.0000	-0.370202	2.696180	9.927854	-0.105122	-0.006350	0.480885	-0.007554	-0.025576	0.133153	0.990737
56145	-65.0000	-0.502119	2.605989	9.903740	0.035758	0.083642	0.440072	-0.008039	-0.025224	0.133604	0.990681
56146	-64.0000	-0.576881	2.753205	9.962490	0.117678	-0.029539	0.538612	-0.008389	-0.024814	0.134264	0.990599
56147	-66.0000	-0.431910	2.953189	9.894272	-0.013029	-0.233657	0.519288	-0.008686	-0.024453	0.134535	0.990569
56148	-66.0000	-0.350379	2.778267	9.769067	-0.083730	-0.099272	0.348973	-0.009043	-0.024258	0.134298	0.990603
56149	-64.0000	-0.430345	2.519640	9.741336	-0.002359	0.139004	0.257471	-0.009371	-0.024236	0.133955	0.990647
56150	-66.0000	-0.468493	2.491566	9.780695	0.033680	0.174268	0.289683	-0.009654	-0.024319	0.133978	0.990639
56151	-66.0000	-0.493491	2.644130	9.857905	0.056544	0.051916	0.405304	-0.009811	-0.024321	0.134325	0.990590
56152	-64.0000	-0.410727	2.909701	9.898743	-0.024859	-0.189365	0.511250	-0.009881	-0.024368	0.134570	0.990555
56153	-66.0000	-0.409541	2.943730	9.900729	-0.028282	-0.220651	0.522119	-0.010008	-0.024605	0.134423	0.990568
56154	-66.0000	-0.478325	2.788540	9.815297	0.036873	-0.095668	0.401728	-0.010223	-0.024975	0.134181	0.990589
56155	-64.0000	-0.567407	2.667207	9.873688	0.114495	0.038772	0.429922	-0.010505	-0.025346	0.134385	0.990549
56156	-66.0000	-0.573487	2.836081	9.994406	0.110867	-0.085844	0.591193	-0.010744	-0.025629	0.134771	0.990487
56157	-66.0000	-0.486643	2.915529	9.938963	0.022776	-0.174386	0.555011	-0.010859	-0.025912	0.134859	0.990466
56158	-64.0000	-0.586958	2.907314	9.963512	0.114855	-0.160771	0.581038	-0.010938	-0.026317	0.134430	0.990513
56159	-66.0000	-0.567687	2.636578	9.887844	0.087529	0.069038	0.435767	-0.010995	-0.026731	0.133817	0.990584
56160	-66.0000	-0.532051	2.584957	9.960748	0.039354	0.127509	0.490893	-0.011009	-0.027122	0.133522	0.990613
56161	-64.0000	-0.542342	2.835703	10.076853	0.040384	-0.089280	0.669140	-0.011043	-0.027397	0.133296	0.990636
56162	-66.0000	-0.476617	2.840311	10.017708	-0.027244	-0.118084	0.610091	-0.011187	-0.027668	0.132850	0.990687
56163	-66.0000	-0.533079	2.628170	9.924286	0.027539	0.055834	0.467343	-0.011405	-0.027800	0.132507	0.990726
56164	-64.0000	-0.517013	2.554827	9.956592	0.007706	0.130912	0.478618	-0.011604	-0.027812	0.132489	0.990726
56165	-66.0000	-0.551083	2.607290	10.026745	0.039448	0.100706	0.561587	-0.011745	-0.027766	0.132615	0.990709
56166	-66.0000	-0.583993	2.566080	10.024599	0.072910	0.141733	0.550372	-0.011800	-0.027724	0.132560	0.990717
56167	-64.0000	-0.518881	2.536410	9.980323	0.011065	0.156158	0.496772	-0.011918	-0.027669	0.132533	0.990721
56168	-66.0000	-0.585011	2.616684	9.907127	0.084366	0.062293	0.450326	-0.012066	-0.027565	0.132610	0.990711
56169	-66.0000	-0.583033	2.706785	9.885460	0.087742	-0.028431	0.452809	-0.012090	-0.027428	0.132712	0.990701
56170	-65.0000	-0.497739	2.734246	9.947328	0.001780	-0.040428	0.515504	-0.012056	-0.027356	0.132710	0.990704
56171	-66.0000	-0.557392	2.665453	9.905887	0.063611	0.017261	0.460461	-0.012145	-0.027320	0.132731	0.990701
56172	-65.0000	-0.619302	2.611231	9.890516	0.127134	0.071086	0.434417	-0.012240	-0.027197	0.133049	0.990661
56173	-64.0000	-0.547923	2.660804	9.862569	0.060187	0.022041	0.416987	-0.012235	-0.027127	0.133527	0.990598
56174	-66.0000	-0.519164	2.754288	9.843315	0.034559	-0.065088	0.421620	-0.012174	-0.027129	0.133920	0.990546
56175	-66.0000	-0.534944	2.767987	9.852662	0.049477	-0.069387	0.435024	-0.012094	-0.027156	0.134112	0.990520
56176	-65.0000	-0.478994	2.749455	9.947032	-0.013465	-0.027498	0.518404	-0.012002	-0.027267	0.134018	0.990531
56177	-66.0000	-0.497218	2.860845	9.945293	0.004185	-0.138352	0.546914	-0.012038	-0.027396	0.133780	0.990559
56178	-65.0000	-0.594359	2.807398	9.940854	0.097562	-0.090074	0.533215	-0.012035	-0.027569	0.133533	0.990588
56179	-64.0000	-0.552519	2.848064	9.879577	0.055998	-0.153225	0.482757	-0.011970	-0.027771	0.133149	0.990635
56180	-66.0000	-0.571277	2.718559	9.883924	0.068358	-0.032648	0.453916	-0.012039	-0.027970	0.132947	0.990655
56181	-65.0000	-0.565722	2.637008	9.966972	0.054868	0.065373	0.512384	-0.012128	-0.027990	0.132941	0.990654
56182	-64.0000	-0.511485	2.644157	10.002392	-0.001899	0.068107	0.545709	-0.012114	-0.028051	0.133143	0.990626
56183	-66.0000	-0.579155	2.794463	10.059469	0.063451	-0.057884	0.643410	-0.012098	-0.028132	0.133145	0.990623
56184	-65.0000	-0.620237	2.635321	10.010174	0.103367	0.081327	0.556300	-0.012091	-0.028168	0.132880	0.990658
56185	-64.0000	-0.599730	2.587423	9.952036	0.086149	0.106746	0.486761	-0.012163	-0.028069	0.132657	0.990690
56186	-66.0000	-0.593075	2.638587	9.962896	0.081614	0.059066	0.510250	-0.012223	-0.028003	0.132785	0.990674
56187	-72.0000	-0.541384	2.682306	9.966408	0.032754	0.018711	0.522482	-0.012304	-0.027870	0.132893	0.990662
56188	-64.0000	-0.572562	2.656738	9.878211	0.070774	0.024551	0.432288	-0.012342	-0.027775	0.133082	0.990639
56189	-66.0000	-0.566975	2.630353	9.922596	0.063247	0.065066	0.467872	-0.012422	-0.027785	0.133244	0.990616
56190	-65.0000	-0.616379	2.620058	9.938429	0.110951	0.086015	0.482811	-0.012557	-0.027849	0.133587	0.990566
56191	-64.0000	-0.670331	2.561534	9.942905	0.162735	0.154080	0.474291	-0.012794	-0.027896	0.134071	0.990496
56192	-66.0000	-0.521788	2.600848	9.880181	0.018868	0.105415	0.416837	-0.013018	-0.027865	0.134582	0.990425
56193	-65.0000	-0.392405	2.771741	9.854776	-0.104335	-0.059410	0.431272	-0.013320	-0.027814	0.135106	0.990351
56194	-64.0000	-0.352247	2.924503	9.906820	-0.143241	-0.185357	0.520124	-0.013583	-0.027818	0.135426	0.990304
56195	-66.0000	-0.435511	3.007849	10.022521	-0.064765	-0.228899	0.657803	-0.013831	-0.027872	0.135417	0.990300
56196	-65.0000	-0.549298	2.783145	10.010644	0.045459	-0.012299	0.592042	-0.014046	-0.027843	0.135348	0.990307
56197	-63.0000	-0.567000	2.645249	9.939769	0.066210	0.101929	0.487947	-0.014145	-0.027724	0.135356	0.990308
56198	-66.0000	-0.513062	2.613953	9.879253	0.018085	0.116601	0.418721	-0.014122	-0.027554	0.135574	0.990283
56199	-64.0000	-0.512860	2.756016	9.898757	0.020999	-0.010806	0.475339	-0.014055	-0.027581	0.135775	0.990256
56200	-64.0000	-0.551357	2.720507	9.829979	0.061790	0.007549	0.401507	-0.013989	-0.027604	0.135682	0.990269
56201	-66.0000	-0.513920	2.604874	9.883702	0.018651	0.129384	0.420590	-0.013932	-0.027614	0.135533	0.990290
56202	-65.0000	-0.592915	2.639670	9.939794	0.094848	0.110053	0.487692	-0.013861	-0.027618	0.135361	0.990314
56203	-64.0000	-0.483487	2.684077	9.948115	-0.013931	0.062415	0.502298	-0.013772	-0.027596	0.135219	0.990336
56204	-66.0000	-0.489489	2.629988	9.858187	-0.003765	0.088323	0.401640	-0.013638	-0.027567	0.135111	0.990353
56205	-65.0000	-0.583205	2.562416	9.925213	0.084166	0.173768	0.452725	-0.013459	-0.027617	0.135177	0.990345
56206	-65.0000	-0.788139	2.625610	9.940264	0.288109	0.125960	0.493862	-0.012919	-0.027574	0.135367	0.990327
56207	-66.0000	-0.721507	2.710127	10.055518	0.216880	0.073365	0.624093	-0.011715	-0.027385	0.135314	0.990355
56208	-65.0000	-0.312525	2.837791	10.044513	-0.185400	-0.068008	0.627809	-0.010516	-0.026921	0.135128	0.990406
56209	-65.0000	-0.291493	2.841078	10.060652	-0.199497	-0.068725	0.643358	-0.009752	-0.026363	0.135207	0.990419
56210	-67.0000	-0.427779	2.661128	10.011408	-0.052307	0.101363	0.554561	-0.009415	-0.025716	0.135722	0.990368
56211	-66.0000	-0.566339	2.606177	9.973689	0.099334	0.160942	0.509695	-0.009047	-0.025090	0.136486	0.990283
56212	-65.0000	-0.634944	2.633171	9.909726	0.181492	0.141242	0.457973	-0.008354	-0.024561	0.137856	0.990112
56213	-66.0000	-0.528286	2.767890	9.930408	0.083992	0.042670	0.509345	-0.007562	-0.024016	0.139228	0.989940
56214	-65.0000	-0.415582	2.901676	9.806202	-0.014038	-0.097480	0.421779	-0.006954	-0.023586	0.140277	0.989807
56215	-65.0000	-0.488288	2.884717	9.808028	0.063759	-0.063722	0.422023	-0.006397	-0.023294	0.140760	0.989749
56216	-66.0000	-0.514863	2.797768	9.844347	0.091179	0.034809	0.433982	-0.005887	-0.023128	0.140741	0.989759
56217	-64.0000	-0.409320	2.856729	9.796768	-0.009357	-0.037478	0.400226	-0.005517	-0.022926	0.140721	0.989768
56218	-63.0000	-0.434691	2.948957	9.849726	0.016501	-0.111051	0.477590	-0.005327	-0.022807	0.140756	0.989767
56219	-65.0000	-0.484846	2.977273	9.816033	0.069457	-0.145547	0.455113	-0.005362	-0.022778	0.140842	0.989756
56220	-64.0000	-0.464007	3.157889	9.899402	0.045551	-0.293735	0.584301	-0.005511	-0.022858	0.141010	0.989729
56221	-64.0000	-0.443598	3.224403	9.904526	0.024633	-0.354023	0.606874	-0.005891	-0.022929	0.141070	0.989717
56222	-66.0000	-0.461743	3.199804	9.913609	0.042487	-0.327484	0.609527	-0.006390	-0.022986	0.140993	0.989723
56223	-65.0000	-0.465365	3.076652	9.855013	0.047778	-0.227679	0.519278	-0.006934	-0.023123	0.140811	0.989742
56224	-65.0000	-0.453110	2.939929	9.771881	0.036971	-0.122099	0.401120	-0.007510	-0.023294	0.140708	0.989749
56225	-66.0000	-0.453366	2.901037	9.837226	0.032166	-0.069172	0.453118	-0.008065	-0.023474	0.140544	0.989763
56226	-64.0000	-0.345587	2.920577	9.823083	-0.076305	-0.098407	0.440442	-0.008597	-0.023622	0.140278	0.989793
56227	-64.0000	-0.403753	3.046831	9.808653	-0.017064	-0.228991	0.463651	-0.009005	-0.023714	0.139890	0.989842
56228	-65.0000	-0.443600	3.030571	9.778331	0.024375	-0.230866	0.431482	-0.009416	-0.023728	0.139279	0.989924
56229	-64.0000	-0.417907	2.757610	9.819371	-0.005659	0.030573	0.395061	-0.009843	-0.023769	0.138740	0.989995
56230	-71.0000	-0.407672	2.641152	9.870563	-0.019802	0.148856	0.412152	-0.010308	-0.023855	0.138542	0.990016
56231	-65.0000	-0.452560	2.931813	9.898447	0.027899	-0.125304	0.519937	-0.010696	-0.023878	0.138405	0.990030
56232	-64.0000	-0.327574	2.954483	9.788017	-0.091205	-0.185758	0.414665	-0.011073	-0.023963	0.138010	0.990079
56233	-64.0000	-0.368971	2.818253	9.665490	-0.047476	-0.097699	0.261466	-0.011514	-0.024154	0.137308	0.990167
56234	-65.0000	-0.276436	2.678715	9.525401	-0.139720	-0.018341	0.085056	-0.012026	-0.024553	0.136542	0.990257
56235	-64.0000	-0.293904	2.726046	9.437517	-0.125842	-0.100853	0.013726	-0.012642	-0.025229	0.135905	0.990320
56236	-63.0000	-0.259424	2.718053	9.235381	-0.162726	-0.160035	-0.184849	-0.013316	-0.026067	0.135316	0.990370
56237	-64.0000	-0.094058	2.706797	8.936446	-0.328879	-0.248596	-0.483933	-0.014052	-0.027238	0.134374	0.990457
56238	-63.0000	0.014629	2.504326	8.714584	-0.453746	-0.137314	-0.757801	-0.014883	-0.029038	0.133021	0.990576
