// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-57.0000	-0.352956	-1.298973	9.740505	-0.025427	-0.037307	0.020283	-0.050747	-0.015506	-0.064582	0.996501
43951	-57.0000	-0.390960	-1.173828	9.693817	0.024772	-0.147059	-0.041374	-0.050504	-0.015585	-0.064635	0.996508
43952	-57.0000	-0.330340	-1.268306	9.587689	-0.043882	-0.049030	-0.136057	-0.050199	-0.015692	-0.064961	0.996501
43953	-57.0000	-0.360789	-1.332704	9.534165	-0.020673	0.018853	-0.179111	-0.049917	-0.015842	-0.065236	0.996495
43954	-56.0000	-0.384863	-1.369643	9.478493	-0.001959	0.062506	-0.228223	-0.049695	-0.016045	-0.065234	0.996503
43955	-57.0000	-0.435898	-1.193981	9.650695	0.057694	-0.128236	-0.079665	-0.049521	-0.016316	-0.065055	0.996519
43956	-56.0000	-0.495513	-1.078081	9.753673	0.121722	-0.251643	0.008911	-0.049351	-0.016494	-0.065259	0.996511
43957	-56.0000	-0.412178	-1.263631	9.628279	0.020707	-0.065926	-0.093344	-0.049169	-0.016656	-0.065714	0.996487
43958	-56.0000	-0.398463	-1.359197	9.573261	-0.004055	0.028427	-0.135255	-0.049086	-0.016856	-0.065884	0.996477
43959	-56.0000	-0.354833	-1.286517	9.651751	-0.046684	-0.060448	-0.069408	-0.049089	-0.017120	-0.065896	0.996471
43960	-56.0000	-0.406501	-1.305717	9.673633	-0.003410	-0.040306	-0.042955	-0.049098	-0.017428	-0.065919	0.996464
43961	-56.0000	-0.432283	-1.326770	9.660136	0.014860	-0.015403	-0.052311	-0.049090	-0.017700	-0.065886	0.996462
43962	-56.0000	-0.389307	-1.243684	9.726478	-0.026753	-0.109962	0.000053	-0.048993	-0.017968	-0.065814	0.996466
43963	-56.0000	-0.484157	-1.199125	9.820797	0.064644	-0.159436	0.091390	-0.048827	-0.018184	-0.065986	0.996459
43964	-56.0000	-0.496112	-1.290459	9.801438	0.064907	-0.069921	0.085317	-0.048699	-0.018317	-0.066228	0.996447
43965	-56.0000	-0.393595	-1.262008	9.718371	-0.034035	-0.100100	-0.005387	-0.048694	-0.018452	-0.066401	0.996433
43966	-56.0000	-0.438748	-1.385419	9.695129	-0.003789	0.027563	-0.009288	-0.048787	-0.018631	-0.066367	0.996428
43967	-56.0000	-0.518760	-1.310829	9.822748	0.075435	-0.053335	0.110277	-0.048963	-0.018806	-0.066070	0.996436
43968	-56.0000	-0.467395	-1.241320	9.828380	0.028135	-0.123261	0.103986	-0.049104	-0.018897	-0.065931	0.996436
43969	-56.0000	-0.461901	-1.236305	9.796614	0.022985	-0.123604	0.071626	-0.049181	-0.018912	-0.066006	0.996427
43970	-56.0000	-0.449553	-1.260100	9.715573	0.011117	-0.093575	-0.005883	-0.049240	-0.018884	-0.066313	0.996404
43971	-56.0000	-0.479091	-1.418368	9.690855	0.025996	0.062906	-0.007110	-0.049311	-0.018861	-0.066599	0.996382
43972	-56.0000	-0.486023	-1.444974	9.692945	0.030493	0.086535	-0.001014	-0.049441	-0.018848	-0.066619	0.996375
43973	-56.0000	-0.412633	-1.392265	9.707482	-0.037776	0.026908	0.002695	-0.049628	-0.018847	-0.066462	0.996376
43974	-56.0000	-0.442084	-1.246235	9.657978	0.007849	-0.106967	-0.065196	-0.049749	-0.018835	-0.066613	0.996360
43975	-56.0000	-0.449997	-1.309285	9.588255	0.012231	-0.040081	-0.125087	-0.049785	-0.018793	-0.067080	0.996328
43976	-56.0000	-0.417230	-1.590389	9.507673	-0.045581	0.237778	-0.166930	-0.049808	-0.018774	-0.067383	0.996306
43977	-56.0000	-0.418094	-1.598768	9.587503	-0.049163	0.235409	-0.086781	-0.049868	-0.018893	-0.066995	0.996327
43978	-56.0000	-0.487026	-1.386579	9.726956	0.033429	0.022896	0.024579	-0.049909	-0.019046	-0.066369	0.996364
43979	-56.0000	-0.439577	-1.230607	9.748631	-0.001459	-0.130122	0.022275	-0.049919	-0.019149	-0.066139	0.996377
43980	-56.0000	-0.475281	-1.287311	9.714734	0.027952	-0.068114	-0.001791	-0.049850	-0.019202	-0.066574	0.996350
43981	-56.0000	-0.449568	-1.537852	9.670526	-0.022115	0.173729	-0.011897	-0.049766	-0.019237	-0.067027	0.996324
43982	-56.0000	-0.444631	-1.580495	9.646297	-0.030915	0.214847	-0.030070	-0.049654	-0.019272	-0.066964	0.996333
43983	-56.0000	-0.526709	-1.439505	9.693327	0.062670	0.082618	0.000540	-0.049591	-0.019311	-0.066461	0.996369
43984	-56.0000	-0.443638	-1.248086	9.719438	-0.002218	-0.108546	-0.004007	-0.049535	-0.019327	-0.066032	0.996400
43985	-57.0000	-0.461864	-1.178597	9.690118	0.023369	-0.166456	-0.041682	-0.049505	-0.019349	-0.065983	0.996404
43986	-56.0000	-0.491191	-1.274727	9.632703	0.044003	-0.062737	-0.083901	-0.049467	-0.019407	-0.066224	0.996389
43987	-57.0000	-0.493419	-1.329263	9.652952	0.039285	-0.016198	-0.056250	-0.049448	-0.019451	-0.066443	0.996374
43988	-56.0000	-0.443755	-1.422542	9.598522	-0.018079	0.075844	-0.099496	-0.049412	-0.019457	-0.066513	0.996371
43989	-57.0000	-0.416117	-1.335911	9.547095	-0.035816	-0.002660	-0.163669	-0.049396	-0.019517	-0.066218	0.996391
43990	-57.0000	-0.511293	-1.172634	9.607135	0.072116	-0.158013	-0.122312	-0.049432	-0.019563	-0.065996	0.996403
43991	-56.0000	-0.467526	-1.208613	9.618958	0.023032	-0.126456	-0.107680	-0.049463	-0.019661	-0.066009	0.996398
43992	-57.0000	-0.496936	-1.246873	9.595384	0.046851	-0.082930	-0.124346	-0.049535	-0.019799	-0.066019	0.996391
43993	-57.0000	-0.502145	-1.332281	9.611931	0.039495	-0.000598	-0.095961	-0.049671	-0.019989	-0.065995	0.996382
43994	-58.0000	-0.506487	-1.352386	9.649774	0.036342	0.015823	-0.055534	-0.049810	-0.020197	-0.065845	0.996381
43995	-58.0000	-0.455685	-1.249063	9.659369	-0.008362	-0.089859	-0.062658	-0.049993	-0.020411	-0.065734	0.996375
