// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF5
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-52.0000	-0.409613	-9.465018	2.129342	-0.132328	-0.177809	-0.104994	-0.784612	0.619721	-0.004079	-0.017705
43951	-53.0000	-0.398542	-9.466029	2.160232	-0.121683	-0.147406	-0.096999	-0.784623	0.619708	-0.004081	-0.017695
43952	-53.0000	-0.369004	-9.478878	2.163420	-0.092196	-0.147206	-0.084609	-0.784649	0.619676	-0.004060	-0.017662
43953	-52.0000	-0.394799	-9.522803	2.145214	-0.116646	-0.176778	-0.045563	-0.784680	0.619637	-0.004057	-0.017655
43954	-52.0000	-0.397180	-9.493274	2.148217	-0.120060	-0.167468	-0.073469	-0.784683	0.619633	-0.004085	-0.017628
43955	-53.0000	-0.408137	-9.566734	2.143703	-0.128944	-0.189833	-0.002908	-0.784703	0.619609	-0.004053	-0.017592
43956	-52.0000	-0.370221	-9.522771	2.197465	-0.094722	-0.129047	-0.033963	-0.784856	0.619416	-0.003950	-0.017573
43957	-53.0000	-0.340091	-9.474637	2.178353	-0.067330	-0.139587	-0.086146	-0.784964	0.619282	-0.003930	-0.017496
43958	-52.0000	-0.421379	-9.422594	2.236761	-0.152033	-0.075450	-0.120571	-0.785052	0.619172	-0.003956	-0.017427
43959	-52.0000	-0.423093	-9.407306	2.240301	-0.154162	-0.070427	-0.134535	-0.785094	0.619118	-0.003992	-0.017437
43960	-53.0000	-0.454101	-9.393693	2.240058	-0.185301	-0.069097	-0.146952	-0.785113	0.619095	-0.003978	-0.017444
43961	-53.0000	-0.418073	-9.477825	2.209739	-0.146310	-0.117900	-0.073509	-0.785105	0.619103	-0.003907	-0.017504
43962	-52.0000	-0.410515	-9.435563	2.258875	-0.141140	-0.060823	-0.103039	-0.785163	0.619028	-0.003864	-0.017551
43963	-53.0000	-0.455011	-9.407075	2.244015	-0.186529	-0.071013	-0.133025	-0.785193	0.618988	-0.003753	-0.017653
43964	-52.0000	-0.385762	-9.457032	2.159988	-0.114872	-0.163168	-0.106504	-0.785177	0.619006	-0.003635	-0.017736
43965	-52.0000	-0.387621	-9.503368	2.201756	-0.116508	-0.133433	-0.051509	-0.785173	0.619011	-0.003581	-0.017773
43966	-53.0000	-0.390871	-9.474771	2.219056	-0.121473	-0.110247	-0.075061	-0.785196	0.618981	-0.003515	-0.017805
43967	-53.0000	-0.381429	-9.431820	2.252761	-0.114776	-0.067079	-0.108978	-0.785170	0.619014	-0.003421	-0.017849
43968	-52.0000	-0.409912	-9.448024	2.248483	-0.143344	-0.074271	-0.093490	-0.785095	0.619108	-0.003360	-0.017885
43969	-53.0000	-0.444701	-9.519935	2.180792	-0.175044	-0.155910	-0.038854	-0.785034	0.619184	-0.003293	-0.017934
43970	-53.0000	-0.399519	-9.501515	2.156082	-0.130496	-0.173055	-0.063835	-0.785007	0.619218	-0.003227	-0.017977
43971	-52.0000	-0.330646	-9.454930	2.180275	-0.064202	-0.136269	-0.105168	-0.785000	0.619226	-0.003154	-0.018012
43972	-53.0000	-0.391935	-9.413816	2.177810	-0.126913	-0.130288	-0.144010	-0.784991	0.619235	-0.003097	-0.018108
