// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-56.0000	-9.637949	-0.981174	-1.724811	0.005996	0.259648	0.023994	0.396820	0.553612	0.516998	-0.518421
43951	-56.0000	-9.597503	-0.948597	-1.647877	0.022467	0.186459	-0.030452	0.396861	0.553566	0.517048	-0.518389
43952	-56.0000	-9.598013	-0.921786	-1.569725	0.036383	0.105903	-0.044216	0.396826	0.553587	0.517050	-0.518392
43953	-56.0000	-9.631855	-0.948752	-1.451108	-0.006547	-0.011332	-0.026049	0.396784	0.553598	0.517004	-0.518457
43954	-56.0000	-9.632413	-0.928833	-1.391180	0.003837	-0.071813	-0.036374	0.396744	0.553636	0.516894	-0.518557
43955	-57.0000	-9.685630	-0.938372	-1.441321	0.006300	-0.028578	0.024412	0.396722	0.553695	0.516751	-0.518654
43956	-56.0000	-9.681455	-0.992246	-1.508541	-0.036480	0.047292	0.035523	0.396697	0.553749	0.516626	-0.518740
43957	-56.0000	-9.666934	-0.954963	-1.541931	0.004612	0.077848	0.022608	0.396638	0.553804	0.516524	-0.518829
43958	-57.0000	-9.648548	-0.938557	-1.546440	0.020342	0.083700	0.003596	0.396585	0.553860	0.516412	-0.518920
43959	-56.0000	-9.656716	-0.876814	-1.545015	0.081466	0.072514	0.005466	0.396577	0.553875	0.516369	-0.518953
43960	-56.0000	-9.623933	-0.896545	-1.569855	0.063760	0.105918	-0.021209	0.396606	0.553853	0.516334	-0.518990
