// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-60.0000	0.098121	-1.578839	10.207009	0.012241	0.111149	0.515570	-0.051634	0.009325	-0.068114	0.996297
43951	-60.0000	0.073833	-1.633152	10.221740	0.030780	0.165634	0.537589	-0.051506	0.009306	-0.068111	0.996304
43952	-61.0000	0.031857	-1.580791	10.220459	0.077458	0.117840	0.528387	-0.051418	0.009270	-0.068189	0.996303
43953	-60.0000	0.059423	-1.514449	10.213405	0.055826	0.049178	0.512292	-0.051338	0.009214	-0.068250	0.996304
43954	-60.0000	0.022825	-1.568152	10.174216	0.084113	0.110094	0.480762	-0.051275	0.009090	-0.068302	0.996305
43955	-60.0000	0.048491	-1.501259	10.167268	0.062479	0.041400	0.464659	-0.051176	0.008937	-0.068348	0.996308
43956	-60.0000	-0.025288	-1.573460	10.090510	0.123980	0.128408	0.398235	-0.051084	0.008805	-0.068534	0.996301
43957	-60.0000	0.004652	-1.634324	10.188945	0.088497	0.167419	0.504762	-0.051042	0.008701	-0.068720	0.996291
43958	-60.0000	0.033043	-1.658624	10.289286	0.057882	0.171024	0.607914	-0.051007	0.008545	-0.068828	0.996287
43959	-60.0000	0.056553	-1.642275	10.220389	0.030004	0.161247	0.537661	-0.050950	0.008261	-0.068798	0.996294
43960	-60.0000	0.032329	-1.498097	10.206513	0.062877	0.023009	0.503018	-0.050933	0.008018	-0.068873	0.996292
43961	-60.0000	0.015554	-1.529347	10.203547	0.071858	0.053907	0.504456	-0.050925	0.007814	-0.068971	0.996287
43962	-60.0000	0.011261	-1.529251	10.203567	0.071736	0.053346	0.504460	-0.050907	0.007584	-0.068937	0.996292
43963	-60.0000	-0.023052	-1.523390	10.214144	0.102925	0.050138	0.513826	-0.050921	0.007448	-0.068900	0.996295
43964	-60.0000	0.008037	-1.599548	10.200194	0.061828	0.123023	0.511247	-0.050972	0.007371	-0.069012	0.996286
43965	-60.0000	-0.005220	-1.683894	10.306584	0.066713	0.190747	0.628594	-0.051033	0.007236	-0.069037	0.996282
43966	-60.0000	0.027007	-1.727105	10.241859	0.026211	0.238674	0.571033	-0.051069	0.007122	-0.069048	0.996280
43967	-60.0000	-0.010801	-1.572275	10.279779	0.077264	0.086060	0.585998	-0.051134	0.006963	-0.068896	0.996288
43968	-62.0000	-0.020193	-1.555154	10.234186	0.083979	0.078910	0.538360	-0.051185	0.006818	-0.068816	0.996292
43969	-60.0000	-0.036037	-1.502848	10.275201	0.103617	0.023350	0.571355	-0.051310	0.006755	-0.068872	0.996282
43970	-60.0000	0.020980	-1.565744	10.224849	0.038548	0.084463	0.530954	-0.051455	0.006739	-0.069010	0.996265
43971	-60.0000	-0.028899	-1.642294	10.255210	0.080646	0.158568	0.571707	-0.051563	0.006727	-0.069072	0.996255
43972	-59.0000	-0.055871	-1.677600	10.210998	0.102720	0.201197	0.532887	-0.051659	0.006730	-0.069127	0.996247
43973	-60.0000	0.031438	-1.616140	10.236240	0.022773	0.127486	0.549587	-0.051751	0.006747	-0.069126	0.996242
43974	-60.0000	0.042246	-1.555436	10.220721	0.017930	0.067965	0.525561	-0.051799	0.006743	-0.069208	0.996234
43975	-60.0000	-0.016715	-1.552770	10.188261	0.076131	0.072518	0.492699	-0.051864	0.006735	-0.069474	0.996212
43976	-60.0000	0.002243	-1.627439	10.172629	0.049017	0.141463	0.488212	-0.051982	0.006706	-0.069670	0.996192
43977	-60.0000	-0.044585	-1.805488	10.217734	0.077031	0.313843	0.558399	-0.052101	0.006627	-0.069589	0.996192
43978	-59.0000	-0.035607	-1.740128	10.203048	0.072217	0.254342	0.534370	-0.052121	0.006517	-0.069309	0.996211
43979	-60.0000	0.001935	-1.560358	10.223753	0.051551	0.075667	0.529047	-0.052077	0.006434	-0.069083	0.996230
43980	-60.0000	0.026369	-1.492096	10.249953	0.033631	0.004417	0.545277	-0.052033	0.006407	-0.069087	0.996232
43981	-60.0000	0.018891	-1.598452	10.190765	0.028710	0.116562	0.501996	-0.051977	0.006397	-0.069252	0.996224
43982	-60.0000	-0.021601	-1.692694	10.214468	0.059767	0.207682	0.538850	-0.051978	0.006386	-0.069326	0.996219
43983	-60.0000	-0.029455	-1.752267	10.197350	0.060593	0.268707	0.530493	-0.051983	0.006344	-0.069333	0.996218
43984	-60.0000	-0.024549	-1.659851	10.196475	0.063949	0.179053	0.516285	-0.051954	0.006272	-0.069157	0.996232
43985	-60.0000	-0.005827	-1.566787	10.216921	0.053798	0.085560	0.523178	-0.051900	0.006207	-0.069041	0.996243
43986	-60.0000	-0.003765	-1.477780	10.248250	0.060904	-0.006696	0.541380	-0.051881	0.006211	-0.069149	0.996237
43987	-60.0000	-0.032665	-1.598375	10.192605	0.076215	0.119803	0.503558	-0.051904	0.006195	-0.069345	0.996222
43988	-60.0000	0.021081	-1.709950	10.132711	0.009227	0.229493	0.460747	-0.051919	0.006113	-0.069444	0.996215
43989	-60.0000	0.017020	-1.642031	10.116368	0.018363	0.166045	0.434729	-0.051948	0.006052	-0.069275	0.996226
43990	-60.0000	-0.052115	-1.522849	10.175433	0.099090	0.051358	0.475595	-0.051966	0.005996	-0.069066	0.996240
43991	-60.0000	-0.040890	-1.439328	10.240626	0.096009	-0.039582	0.528152	-0.052035	0.005893	-0.069096	0.996235
43992	-59.0000	-0.031088	-1.638442	10.257754	0.064440	0.151249	0.573840	-0.052171	0.005839	-0.069219	0.996219
43993	-60.0000	-0.035423	-1.722194	10.246557	0.057573	0.234605	0.574842	-0.052309	0.005687	-0.069194	0.996215
43994	-60.0000	-0.072360	-1.581356	10.191266	0.103449	0.108202	0.499704	-0.052461	0.005444	-0.069156	0.996211
43995	-60.0000	-0.068916	-1.566031	10.166634	0.096646	0.097225	0.473170	-0.052640	0.005283	-0.069080	0.996207
43996	-59.0000	-0.065125	-1.578201	10.212994	0.089708	0.103267	0.520825	-0.052846	0.005209	-0.069040	0.996200
43997	-60.0000	-0.075103	-1.601354	10.197754	0.095378	0.128913	0.509059	-0.053043	0.005165	-0.069108	0.996185
43998	-59.0000	-0.028300	-1.760310	10.161564	0.030290	0.284468	0.496291	-0.053251	0.005120	-0.069135	0.996172
43999	-58.0000	-0.020016	-1.726592	10.217053	0.025257	0.241998	0.546390	-0.053457	0.005070	-0.069148	0.996160
44000	-59.0000	-0.043435	-1.698168	10.242619	0.050621	0.212552	0.567542	-0.053602	0.005016	-0.069160	0.996152
44001	-59.0000	-0.038008	-1.648476	10.219518	0.048660	0.166189	0.537553	-0.053700	0.004954	-0.069159	0.996147
44002	-58.0000	-0.023980	-1.598168	10.302707	0.041160	0.102757	0.612678	-0.053799	0.004989	-0.069211	0.996138
44003	-58.0000	-0.062350	-1.572466	10.339354	0.083836	0.074551	0.645141	-0.053892	0.005067	-0.069338	0.996124
44004	-58.0000	-0.044174	-1.669911	10.223844	0.054576	0.182916	0.544972	-0.053934	0.005117	-0.069417	0.996116
44005	-57.0000	-0.054327	-1.741165	10.199150	0.058365	0.257090	0.530801	-0.053930	0.005236	-0.069402	0.996116
44006	-58.0000	-0.097040	-1.647703	10.252197	0.114042	0.163349	0.569615	-0.053940	0.005342	-0.069314	0.996121
44007	-57.0000	-0.013312	-1.520537	10.293614	0.046990	0.024090	0.592499	-0.053902	0.005416	-0.069330	0.996122
44008	-57.0000	0.020120	-1.607753	10.239590	0.005105	0.112844	0.551758	-0.053820	0.005488	-0.069437	0.996118
44009	-57.0000	-0.096276	-1.711272	10.182458	0.110513	0.233880	0.509776	-0.053787	0.005574	-0.069488	0.996116
44010	-57.0000	-0.112802	-1.725722	10.133857	0.126423	0.258247	0.463656	-0.053789	0.005682	-0.069313	0.996128
44011	-59.0000	-0.016762	-1.565548	10.178466	0.050218	0.087613	0.484992	-0.053795	0.005729	-0.069138	0.996139
44012	-57.0000	0.007005	-1.585471	10.173506	0.025090	0.108104	0.483024	-0.053846	0.005771	-0.069048	0.996142
44013	-57.0000	-0.001095	-1.606923	10.158573	0.030796	0.133797	0.471279	-0.053861	0.005765	-0.068988	0.996146
44014	-56.0000	-0.104066	-1.547445	10.157843	0.139510	0.088427	0.461548	-0.053909	0.005789	-0.068864	0.996152
44015	-57.0000	-0.061992	-1.506385	10.243436	0.104070	0.032872	0.540530	-0.053988	0.005813	-0.068838	0.996149
44016	-57.0000	-0.012281	-1.545699	10.220127	0.050592	0.069208	0.523316	-0.054118	0.005860	-0.068893	0.996138
44017	-57.0000	-0.010397	-1.621702	10.196798	0.040394	0.147341	0.511138	-0.054188	0.005858	-0.068816	0.996139
44018	-57.0000	-0.028964	-1.629721	10.168509	0.056715	0.163814	0.484174	-0.054288	0.005818	-0.068642	0.996146
44019	-57.0000	-0.020231	-1.638646	10.182617	0.046000	0.172475	0.499412	-0.054402	0.005758	-0.068537	0.996148
44020	-57.0000	-0.002251	-1.614777	10.251961	0.030313	0.139111	0.564689	-0.054526	0.005680	-0.068448	0.996147
44021	-58.0000	0.036411	-1.525137	10.207971	-0.001439	0.054962	0.508506	-0.054624	0.005581	-0.068330	0.996151
44022	-58.0000	-0.017679	-1.536530	10.202191	0.049493	0.073927	0.504193	-0.054719	0.005555	-0.068340	0.996145
44023	-57.0000	0.028014	-1.614061	10.209754	-0.005040	0.143012	0.522910	-0.054803	0.005503	-0.068433	0.996134
44024	-57.0000	-0.031929	-1.614103	10.157448	0.052747	0.155534	0.470947	-0.054859	0.005484	-0.068481	0.996128
44025	-57.0000	-0.089043	-1.672992	10.142445	0.101817	0.223047	0.464273	-0.054948	0.005421	-0.068316	0.996135
44026	-56.0000	-0.048518	-1.584545	10.269975	0.072019	0.116292	0.578021	-0.055026	0.005362	-0.068208	0.996138
44027	-57.0000	-0.008377	-1.543238	10.355530	0.036520	0.060707	0.656966	-0.055082	0.005275	-0.068159	0.996139
44028	-57.0000	-0.041259	-1.497706	10.387440	0.072916	0.014130	0.681988	-0.055136	0.005187	-0.068285	0.996128
44029	-57.0000	-0.026086	-1.596182	10.272140	0.043730	0.122658	0.581945	-0.055195	0.005154	-0.068435	0.996114
44030	-57.0000	-0.054390	-1.682430	10.166225	0.059813	0.224496	0.489336	-0.055291	0.005130	-0.068389	0.996112
44031	-57.0000	-0.060735	-1.620012	10.162258	0.072208	0.166302	0.476470	-0.055387	0.005118	-0.068242	0.996117
44032	-56.0000	0.010449	-1.638513	10.155898	-0.001030	0.180451	0.472959	-0.055457	0.005124	-0.068100	0.996123
44033	-57.0000	-0.000729	-1.615011	10.215388	0.014100	0.152230	0.528446	-0.055538	0.005175	-0.068047	0.996122
44034	-57.0000	-0.020493	-1.668206	10.197572	0.028960	0.209333	0.518293	-0.055596	0.005272	-0.068102	0.996114
44035	-57.0000	-0.023467	-1.645407	10.191368	0.036577	0.186528	0.508929	-0.055695	0.005400	-0.068211	0.996100
44036	-57.0000	0.019004	-1.624395	10.215910	-0.000206	0.154662	0.530422	-0.055754	0.005526	-0.068405	0.996083
44037	-57.0000	-0.004311	-1.641488	10.251779	0.023655	0.165747	0.568326	-0.055818	0.005574	-0.068534	0.996070
44038	-57.0000	-0.034952	-1.596497	10.283631	0.060026	0.119168	0.593334	-0.055886	0.005562	-0.068527	0.996067
44039	-57.0000	-0.076334	-1.593021	10.220372	0.100529	0.130440	0.530060	-0.055924	0.005612	-0.068429	0.996072
44040	-57.0000	-0.015148	-1.492669	10.205004	0.052297	0.029304	0.500741	-0.055979	0.005753	-0.068320	0.996075
44041	-57.0000	0.033545	-1.527467	10.234546	0.003023	0.055063	0.535123	-0.056047	0.005857	-0.068327	0.996070
44042	-57.0000	0.015348	-1.606789	10.255203	0.013967	0.131726	0.566795	-0.056070	0.005876	-0.068374	0.996066
44043	-56.0000	0.003713	-1.621319	10.141062	0.022423	0.161634	0.455866	-0.056116	0.005930	-0.068506	0.996054
44044	-56.0000	-0.016167	-1.624465	10.184896	0.043394	0.159586	0.499631	-0.056162	0.005945	-0.068491	0.996052
44045	-56.0000	0.008963	-1.609357	10.148685	0.019308	0.147475	0.461737	-0.056240	0.005938	-0.068462	0.996050
44046	-56.0000	-0.006991	-1.535970	10.130897	0.042370	0.080146	0.433585	-0.056331	0.005902	-0.068436	0.996046
44047	-56.0000	-0.040219	-1.526920	10.193923	0.077700	0.066241	0.494531	-0.056361	0.005953	-0.068449	0.996044
44048	-56.0000	0.020084	-1.609753	10.202674	0.009265	0.139292	0.515273	-0.056410	0.005956	-0.068472	0.996039
44049	-56.0000	0.018138	-1.578847	10.184229	0.013529	0.111365	0.492604	-0.056477	0.005889	-0.068482	0.996035
44050	-56.0000	-0.014688	-1.539000	10.196006	0.049501	0.072714	0.498449	-0.056537	0.005828	-0.068609	0.996023
44051	-56.0000	-0.002526	-1.547582	10.196664	0.035428	0.076170	0.500407	-0.056609	0.005780	-0.068814	0.996005
44052	-56.0000	0.019055	-1.610101	10.189099	0.005509	0.132119	0.502013	-0.056669	0.005686	-0.069004	0.995989
44053	-56.0000	-0.042639	-1.633672	10.227742	0.063559	0.153547	0.543461	-0.056688	0.005634	-0.069121	0.995980
44054	-58.0000	0.009196	-1.576268	10.275286	0.018006	0.082349	0.582460	-0.056710	0.005541	-0.069195	0.995975
44055	-55.0000	-0.007806	-1.585073	10.214077	0.030611	0.101661	0.523106	-0.056713	0.005433	-0.069112	0.995981
44056	-55.0000	-0.060381	-1.581353	10.268492	0.082837	0.096819	0.576250	-0.056736	0.005401	-0.069128	0.995979
44057	-55.0000	0.011345	-1.576042	10.190455	0.009775	0.094277	0.498493	-0.056713	0.005348	-0.069137	0.995979
44058	-56.0000	0.014937	-1.604973	10.176397	0.001556	0.123997	0.488761	-0.056688	0.005285	-0.069153	0.995980
44059	-56.0000	-0.057490	-1.630851	10.141286	0.068987	0.160030	0.457575	-0.056630	0.005233	-0.069389	0.995967
44060	-56.0000	-0.075530	-1.676009	10.130393	0.080994	0.204054	0.453343	-0.056602	0.005192	-0.069535	0.995959
44061	-56.0000	-0.025880	-1.692184	10.207187	0.029631	0.200906	0.531856	-0.056513	0.005046	-0.069613	0.995959
44062	-57.0000	-0.075716	-1.637157	10.290694	0.084131	0.139669	0.606421	-0.056436	0.004908	-0.069596	0.995966
44063	-57.0000	-0.039585	-1.582038	10.297399	0.051673	0.080360	0.605168	-0.056411	0.004767	-0.069602	0.995967
44064	-57.0000	-0.007981	-1.584570	10.254714	0.016585	0.085405	0.563368	-0.056482	0.004656	-0.069581	0.995965
44065	-57.0000	-0.078488	-1.569725	10.189123	0.085024	0.088851	0.496207	-0.056543	0.004581	-0.069533	0.995965
44066	-57.0000	-0.056050	-1.610738	10.071035	0.054512	0.143927	0.385336	-0.056614	0.004520	-0.069536	0.995961
44067	-57.0000	-0.073234	-1.681425	10.079417	0.062186	0.215411	0.403815	-0.056668	0.004437	-0.069405	0.995968
44068	-56.0000	-0.052592	-1.614965	10.137962	0.047849	0.141427	0.452148	-0.056731	0.004317	-0.069319	0.995971
44069	-56.0000	-0.052878	-1.633418	10.196890	0.044214	0.152475	0.513116	-0.056849	0.004180	-0.069261	0.995969
44070	-56.0000	-0.073844	-1.555594	10.231807	0.071353	0.074434	0.536446	-0.057003	0.004050	-0.069199	0.995965
44071	-56.0000	-0.010389	-1.508283	10.260638	0.011417	0.015148	0.558203	-0.057187	0.003933	-0.069381	0.995942
44072	-56.0000	-0.056715	-1.576190	10.246129	0.046610	0.086559	0.553657	-0.057357	0.003781	-0.069445	0.995928
44073	-56.0000	-0.087244	-1.656374	10.160363	0.063255	0.180660	0.480394	-0.057525	0.003652	-0.069417	0.995921
44074	-55.0000	-0.079794	-1.660179	10.194592	0.052925	0.181346	0.514780	-0.057669	0.003529	-0.069164	0.995931
44075	-55.0000	-0.090837	-1.550187	10.265288	0.074612	0.069146	0.568889	-0.057766	0.003409	-0.068945	0.995941
44076	-55.0000	-0.031343	-1.597786	10.223790	0.006812	0.117575	0.534579	-0.057812	0.003303	-0.068900	0.995942
44077	-56.0000	-0.063186	-1.668333	10.210950	0.028027	0.193005	0.532011	-0.057803	0.003209	-0.068881	0.995944
44078	-56.0000	-0.045856	-1.650404	10.260111	0.011858	0.167452	0.578060	-0.057792	0.003137	-0.068784	0.995951
44079	-57.0000	-0.103651	-1.625195	10.288573	0.071329	0.148210	0.602670	-0.057782	0.003103	-0.068597	0.995965
44080	-56.0000	-0.098294	-1.545868	10.227297	0.073266	0.082577	0.530657	-0.057717	0.003066	-0.068371	0.995984
44081	-56.0000	-0.062275	-1.564740	10.244040	0.034631	0.099198	0.549822	-0.057661	0.003028	-0.068146	0.996003
44082	-56.0000	-0.070910	-1.583354	10.229635	0.040366	0.124937	0.538169	-0.057613	0.003036	-0.067945	0.996020
44083	-57.0000	-0.070992	-1.543820	10.231692	0.045078	0.089124	0.534581	-0.057563	0.003043	-0.067827	0.996030
44084	-57.0000	-0.096898	-1.570749	10.208206	0.067758	0.124053	0.515146	-0.057441	0.003071	-0.067738	0.996044
44085	-57.0000	-0.087399	-1.586468	10.202097	0.056665	0.140641	0.511280	-0.057400	0.003059	-0.067691	0.996049
44086	-57.0000	-0.075943	-1.523767	10.186442	0.051695	0.081335	0.486922	-0.057325	0.003024	-0.067593	0.996060
44087	-58.0000	-0.062253	-1.475270	10.249648	0.043600	0.025571	0.542650	-0.057308	0.002974	-0.067459	0.996070
