// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-50.0000	9.766554	-0.423577	1.458080	-0.233141	0.103187	0.067899	0.566630	-0.443502	-0.489732	-0.492340
43951	-51.0000	9.715258	-0.411338	1.471182	-0.224695	0.125396	0.018569	0.566606	-0.443540	-0.489798	-0.492269
43952	-50.0000	9.706439	-0.411538	1.451464	-0.222656	0.108553	0.007176	0.566619	-0.443559	-0.489827	-0.492207
43953	-50.0000	9.719527	-0.430883	1.501401	-0.246997	0.154115	0.027247	0.566596	-0.443575	-0.489810	-0.492236
43954	-50.0000	9.716405	-0.405884	1.482217	-0.220156	0.138258	0.021063	0.566518	-0.443641	-0.489708	-0.492368
43955	-51.0000	9.709263	-0.419892	1.531535	-0.240345	0.185466	0.020905	0.566392	-0.443733	-0.489601	-0.492536
43956	-51.0000	9.726742	-0.463083	1.451183	-0.274114	0.099315	0.028292	0.566217	-0.443854	-0.489552	-0.492677
43957	-51.0000	9.790616	-0.470911	1.431015	-0.278137	0.071096	0.088995	0.566093	-0.443948	-0.489498	-0.492788
43958	-50.0000	9.749569	-0.514779	1.413995	-0.321529	0.053941	0.046937	0.566030	-0.443998	-0.489354	-0.492959
43959	-50.0000	9.763514	-0.545082	1.417878	-0.351555	0.051520	0.061899	0.565946	-0.444080	-0.489281	-0.493054
43960	-51.0000	9.725065	-0.474577	1.441898	-0.285837	0.087927	0.025592	0.565946	-0.444056	-0.489236	-0.493120
43961	-51.0000	9.675788	-0.464387	1.421058	-0.275399	0.074371	-0.026240	0.565899	-0.444088	-0.489201	-0.493180
43962	-51.0000	9.679298	-0.438170	1.456449	-0.253571	0.111310	-0.018538	0.565885	-0.444078	-0.489163	-0.493243
43963	-50.0000	9.673920	-0.410447	1.473131	-0.228662	0.131203	-0.022192	0.565838	-0.444087	-0.489156	-0.493295
43964	-51.0000	9.695870	-0.450382	1.482158	-0.269389	0.133579	0.001543	0.565753	-0.444138	-0.489225	-0.493279
43965	-51.0000	9.759220	-0.511354	1.445953	-0.324190	0.084703	0.060629	0.565659	-0.444229	-0.489258	-0.493273
43966	-51.0000	9.747508	-0.484663	1.406199	-0.294258	0.051808	0.043120	0.565615	-0.444229	-0.489310	-0.493271
43967	-51.0000	9.728670	-0.471338	1.415796	-0.283466	0.065907	0.025451	0.565611	-0.444217	-0.489341	-0.493255
43968	-50.0000	9.746498	-0.474384	1.452932	-0.290669	0.100215	0.048132	0.565616	-0.444175	-0.489414	-0.493215
43969	-51.0000	9.764460	-0.400877	1.448614	-0.217294	0.103404	0.063848	0.565565	-0.444205	-0.489482	-0.493179
43970	-51.0000	9.748621	-0.434027	1.417577	-0.247661	0.073338	0.044635	0.565491	-0.444288	-0.489552	-0.493120
43971	-51.0000	9.692789	-0.437727	1.442152	-0.256296	0.106780	-0.007358	0.565416	-0.444362	-0.489587	-0.493105
43972	-50.0000	9.681624	-0.434893	1.458989	-0.256186	0.125677	-0.016249	0.565418	-0.444327	-0.489575	-0.493146
43973	-51.0000	9.676732	-0.450960	1.472679	-0.274390	0.137146	-0.018956	0.565375	-0.444338	-0.489533	-0.493226
43974	-50.0000	9.770652	-0.456339	1.485382	-0.278217	0.136597	0.075901	0.565321	-0.444383	-0.489504	-0.493276
43975	-51.0000	9.762769	-0.467038	1.419078	-0.281810	0.071792	0.059445	0.565258	-0.444441	-0.489508	-0.493292
43976	-51.0000	9.805243	-0.479747	1.385923	-0.289325	0.032993	0.097355	0.565248	-0.444453	-0.489528	-0.493273
43977	-50.0000	9.775135	-0.463572	1.413176	-0.277388	0.065792	0.070832	0.565288	-0.444416	-0.489548	-0.493240
43978	-51.0000	9.738421	-0.428255	1.445941	-0.247108	0.106018	0.038134	0.565337	-0.444372	-0.489506	-0.493265
43979	-51.0000	9.684322	-0.434316	1.438237	-0.253756	0.103709	-0.016356	0.565352	-0.444380	-0.489468	-0.493280
43980	-50.0000	9.693089	-0.436990	1.457465	-0.257889	0.120989	-0.005038	0.565329	-0.444416	-0.489439	-0.493301
43981	-51.0000	9.702369	-0.483495	1.473034	-0.305138	0.129830	0.007170	0.565338	-0.444430	-0.489432	-0.493286
43982	-51.0000	9.703530	-0.475588	1.484745	-0.298550	0.142291	0.009724	0.565348	-0.444402	-0.489470	-0.493263
