// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DEF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-63.0000	-9.597698	0.256089	-1.374893	-0.021323	-0.063874	-0.113863	-0.583797	-0.359715	-0.667228	0.290848
43951	-63.0000	-9.597574	0.255605	-1.375849	-0.021893	-0.062777	-0.113857	-0.583794	-0.359671	-0.667259	0.290837
43952	-63.0000	-9.588567	0.220169	-1.405925	-0.068255	-0.057529	-0.119507	-0.583796	-0.359652	-0.667280	0.290810
43953	-64.0000	-9.598385	0.223224	-1.384300	-0.052535	-0.074717	-0.112854	-0.583782	-0.359638	-0.667296	0.290817
43954	-63.0000	-9.596923	0.255273	-1.380443	-0.023589	-0.059450	-0.113840	-0.583718	-0.359718	-0.667279	0.290885
43955	-64.0000	-9.616536	0.219717	-1.404524	-0.064742	-0.063088	-0.092062	-0.583628	-0.359878	-0.667199	0.291053
43956	-64.0000	-9.620592	0.289744	-1.426590	-0.019286	-0.005797	-0.082606	-0.583545	-0.360034	-0.667131	0.291181
43957	-65.0000	-9.636583	0.277923	-1.433201	-0.031684	-0.009272	-0.066203	-0.583514	-0.360115	-0.667068	0.291288
43958	-65.0000	-9.571821	0.251845	-1.411685	-0.044739	-0.032358	-0.134206	-0.583510	-0.360156	-0.667040	0.291311
43959	-65.0000	-9.586010	0.251968	-1.409546	-0.042705	-0.035708	-0.120484	-0.583523	-0.360121	-0.667043	0.291319
43960	-66.0000	-9.597782	0.243220	-1.395757	-0.041381	-0.053037	-0.111131	-0.583533	-0.360118	-0.667030	0.291332
43961	-65.0000	-9.601869	0.313566	-1.417483	0.004045	0.004218	-0.101692	-0.583542	-0.360104	-0.667044	0.291302
43962	-65.0000	-9.599906	0.252262	-1.409384	-0.041820	-0.036950	-0.106757	-0.583593	-0.360005	-0.667079	0.291242
43963	-66.0000	-9.599213	0.231556	-1.407001	-0.057503	-0.049925	-0.108443	-0.583607	-0.359974	-0.667071	0.291270
43964	-66.0000	-9.597359	0.243018	-1.398702	-0.043621	-0.048739	-0.111118	-0.583640	-0.359954	-0.667029	0.291323
43965	-66.0000	-9.588785	0.249010	-1.358931	-0.016752	-0.075354	-0.125193	-0.583646	-0.359943	-0.667020	0.291346
43966	-66.0000	-9.600589	0.239917	-1.345051	-0.015447	-0.092650	-0.115821	-0.583671	-0.359865	-0.667039	0.291349
43967	-66.0000	-9.641867	0.230405	-1.400325	-0.051963	-0.058861	-0.067256	-0.583660	-0.359847	-0.667076	0.291309
43968	-66.0000	-9.655366	0.283437	-1.396259	-0.005332	-0.033967	-0.052831	-0.583650	-0.359901	-0.667037	0.291351
43969	-66.0000	-9.615262	0.239915	-1.420392	-0.057550	-0.033988	-0.090348	-0.583661	-0.359928	-0.667024	0.291327
43970	-66.0000	-9.581561	0.223380	-1.404495	-0.064691	-0.051994	-0.126515	-0.583695	-0.359917	-0.667020	0.291280
43971	-66.0000	-9.567029	0.224150	-1.408782	-0.067821	-0.046524	-0.140242	-0.583720	-0.359876	-0.667055	0.291200
43972	-67.0000	-9.589374	0.239735	-1.375683	-0.035086	-0.067993	-0.122475	-0.583711	-0.359903	-0.667053	0.291189
43973	-67.0000	-9.600655	0.263207	-1.431862	-0.047278	-0.011175	-0.102397	-0.583669	-0.359993	-0.667019	0.291240
43974	-67.0000	-9.608031	0.331313	-1.399431	0.027452	0.000051	-0.097664	-0.583639	-0.360059	-0.666997	0.291270
43975	-68.0000	-9.595343	0.246784	-1.411810	-0.049763	-0.036927	-0.111096	-0.583645	-0.360062	-0.667005	0.291237
43976	-67.0000	-9.605850	0.197773	-1.392632	-0.078605	-0.082417	-0.105065	-0.583632	-0.360095	-0.667001	0.291229
43977	-68.0000	-9.606823	0.239371	-1.400022	-0.048996	-0.053167	-0.101705	-0.583643	-0.360118	-0.666984	0.291219
43978	-68.0000	-9.594713	0.248830	-1.415727	-0.051397	-0.033723	-0.111092	-0.583647	-0.360157	-0.666964	0.291208
43979	-68.0000	-9.590839	0.273420	-1.400073	-0.023183	-0.032454	-0.116422	-0.583651	-0.360197	-0.666953	0.291175
43980	-69.0000	-9.599754	0.215365	-1.443830	-0.095778	-0.031980	-0.103099	-0.583667	-0.360208	-0.666945	0.291149
43981	-68.0000	-9.600580	0.278235	-1.379176	-0.008006	-0.048599	-0.109685	-0.583681	-0.360249	-0.666903	0.291165
43982	-67.0000	-9.589736	0.255314	-1.400164	-0.039944	-0.043367	-0.118091	-0.583694	-0.360247	-0.666910	0.291127
43983	-67.0000	-9.602603	0.288373	-1.393047	-0.008441	-0.032495	-0.105340	-0.583704	-0.360260	-0.666909	0.291093
43984	-68.0000	-9.616696	0.289312	-1.391520	-0.006420	-0.035802	-0.091599	-0.583709	-0.360276	-0.666917	0.291043
43985	-69.0000	-9.600382	0.228629	-1.387080	-0.054852	-0.072659	-0.110352	-0.583698	-0.360298	-0.666929	0.291011
43986	-68.0000	-9.591130	0.266920	-1.417989	-0.041534	-0.025205	-0.113751	-0.583674	-0.360332	-0.666932	0.291009
43987	-69.0000	-9.611837	0.272979	-1.448059	-0.052538	-0.000649	-0.088694	-0.583686	-0.360324	-0.666938	0.290981
43988	-68.0000	-9.612816	0.262476	-1.382838	-0.024452	-0.059581	-0.097585	-0.583721	-0.360316	-0.666922	0.290959
43989	-68.0000	-9.560102	0.280105	-1.418796	-0.033904	-0.013050	-0.143888	-0.583745	-0.360276	-0.666937	0.290925
43990	-68.0000	-9.576099	0.268491	-1.425365	-0.046318	-0.016522	-0.127492	-0.583765	-0.360225	-0.666964	0.290887
