// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B43DFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43950	-70.0000	0.071296	-2.479005	9.443078	-0.037413	-0.006107	-0.049448	-0.989112	0.123516	0.018002	-0.077950
43951	-68.0000	0.141778	-2.258310	9.422906	-0.001902	0.204424	-0.124064	-0.989180	0.123101	0.018061	-0.077738
43952	-69.0000	0.109757	-2.099941	9.408607	-0.056476	0.341397	-0.178169	-0.989206	0.122924	0.018033	-0.077696
43953	-69.0000	0.094541	-2.151878	9.380666	-0.059960	0.281101	-0.192199	-0.989197	0.122944	0.017832	-0.077825
43954	-67.0000	0.105387	-2.235357	9.377190	-0.030730	0.204201	-0.174380	-0.989163	0.123082	0.017447	-0.078127
43955	-68.0000	0.090429	-2.363991	9.407991	-0.017834	0.089651	-0.112246	-0.989130	0.123174	0.016856	-0.078528
43956	-67.0000	0.004716	-2.505186	9.477176	-0.071249	-0.040513	-0.010335	-0.989114	0.123085	0.016179	-0.079010
43957	-66.0000	0.022991	-2.505546	9.547940	-0.043494	-0.022601	0.058434	-0.989117	0.122840	0.015662	-0.079452
43958	-66.0000	0.074018	-2.584098	9.554788	0.027710	-0.090080	0.085198	-0.989099	0.122774	0.015376	-0.079834
43959	-66.0000	-0.011130	-2.725615	9.537515	-0.028299	-0.243302	0.103628	-0.989071	0.122779	0.015213	-0.080201
43960	-66.0000	-0.057953	-2.768873	9.514272	-0.064086	-0.298455	0.091766	-0.989066	0.122695	0.015193	-0.080395
43961	-66.0000	0.003237	-2.650529	9.536365	-0.024049	-0.171152	0.083661	-0.989069	0.122676	0.015348	-0.080357
43962	-66.0000	0.060194	-2.616326	9.496892	0.024949	-0.138517	0.037183	-0.989069	0.122782	0.015537	-0.080165
43963	-66.0000	-0.002694	-2.617645	9.429635	-0.036506	-0.165441	-0.027934	-0.989079	0.122816	0.015563	-0.079978
43964	-66.0000	0.065728	-2.539652	9.503783	0.016820	-0.063719	0.024573	-0.989131	0.122560	0.015374	-0.079771
43965	-66.0000	-0.020475	-2.371846	9.543034	-0.092126	0.086647	0.019890	-0.989193	0.122201	0.015182	-0.079590
43966	-65.0000	0.005954	-2.283703	9.556450	-0.078548	0.173225	0.011003	-0.989223	0.122025	0.015219	-0.079479
43967	-66.0000	0.026887	-2.337748	9.471431	-0.047573	0.102062	-0.057632	-0.989217	0.122024	0.015379	-0.079519
43968	-66.0000	0.063788	-2.440645	9.449305	0.004193	0.005464	-0.053070	-0.989192	0.122168	0.015372	-0.079611
43969	-66.0000	0.030928	-2.527397	9.456818	-0.013462	-0.078051	-0.024234	-0.989178	0.122293	0.015183	-0.079627
43970	-66.0000	0.046781	-2.511008	9.504473	0.001498	-0.046017	0.017889	-0.989187	0.122347	0.014928	-0.079477
43971	-66.0000	0.001059	-2.380831	9.558894	-0.062313	0.085106	0.037678	-0.989218	0.122325	0.014743	-0.079170
43972	-66.0000	-0.042255	-2.366888	9.572558	-0.106566	0.093038	0.047221	-0.989256	0.122153	0.014757	-0.078954
43973	-66.0000	0.013184	-2.220752	9.553484	-0.074453	0.231645	-0.007497	-0.989299	0.121813	0.014882	-0.078918
43974	-66.0000	0.000030	-2.157465	9.513230	-0.097525	0.274409	-0.062232	-0.989318	0.121587	0.015039	-0.078997
43975	-65.0000	0.059428	-2.220034	9.509813	-0.031655	0.221163	-0.049557	-0.989300	0.121627	0.015172	-0.079136
43976	-65.0000	0.111336	-2.324142	9.459191	0.037328	0.119100	-0.072320	-0.989268	0.121753	0.015108	-0.079358
43977	-65.0000	-0.032283	-2.404933	9.465794	-0.089077	0.022089	-0.046543	-0.989250	0.121749	0.014876	-0.079623
43978	-65.0000	-0.016743	-2.387372	9.513705	-0.074094	0.054118	-0.004426	-0.989228	0.121812	0.014696	-0.079830
43979	-65.0000	-0.036624	-2.433272	9.527148	-0.085155	0.013826	0.019975	-0.989180	0.122078	0.014681	-0.080022
43980	-65.0000	-0.007078	-2.547483	9.576950	-0.040464	-0.074254	0.096931	-0.989154	0.122216	0.014689	-0.080137
43981	-65.0000	0.077218	-2.496029	9.577699	0.035489	-0.012414	0.085142	-0.989174	0.121960	0.014648	-0.080288
43982	-65.0000	-0.011166	-2.367462	9.569913	-0.070282	0.089185	0.045068	-0.989189	0.121692	0.014670	-0.080502
43983	-64.0000	0.016752	-2.345080	9.471035	-0.043421	0.089721	-0.056138	-0.989151	0.121863	0.014867	-0.080673
